=== monotype round-robin: 18 teams, 153 pairs, 8 games/pair, 200ms search, 22 workers, 1224 total games ===
  [ 0] Dork Team
  [ 1] Totally Normal Team
  [ 2] Spooky Team
  [ 3] Supa Fitingu
  [ 4] I Believe In Fairies
  [ 5] Grounded Grounded Grounded
  [ 6] Ice Ice Baby
  [ 7] Heavy Metal
  [ 8] Stop Bugging Me
  [ 9] Electric Boogaloo
  [10] Fly Away Now
  [11] Toxic Team
  [12] Rock Hard
  [13] RuPauls Dragon Race
  [14] Soft and Wet
  [15] Your Ass is Grass
  [16] Brain Blast
  [17] Disco Inferno
  [61/1224] 40s
  [122/1224] 80s
  [183/1224] 122s
  [244/1224] 175s
  [305/1224] 223s
  [366/1224] 287s
  [427/1224] 327s
  [488/1224] 361s
  [549/1224] 404s
  [610/1224] 448s
  [671/1224] 506s
  [732/1224] 555s
  [793/1224] 601s
  [854/1224] 648s
  [915/1224] 691s
  [976/1224] 735s
  [1037/1224] 795s
  [1098/1224] 852s
  [1159/1224] 896s
  [1220/1224] 933s

Done in 941s

=== Per-pair results ===
            Supa Fitingu vs Stop Bugging Me       :   8W   0L   0D (100.0% for Supa Fitingu, 8/8 decided)
            Supa Fitingu vs Electric Boogaloo     :   6W   2L   0D ( 75.0% for Supa Fitingu, 8/8 decided)
            Supa Fitingu vs Fly Away Now          :   6W   1L   1D ( 85.7% for Supa Fitingu, 7/8 decided)
            Supa Fitingu vs Toxic Team            :   7W   1L   0D ( 87.5% for Supa Fitingu, 8/8 decided)
            Supa Fitingu vs Rock Hard             :   8W   0L   0D (100.0% for Supa Fitingu, 8/8 decided)
            Supa Fitingu vs RuPauls Dragon Race   :   0W   7L   1D (  0.0% for Supa Fitingu, 7/8 decided)
            Supa Fitingu vs Soft and Wet          :   0W   3L   5D (  0.0% for Supa Fitingu, 3/8 decided)
            Supa Fitingu vs Your Ass is Grass     :   7W   1L   0D ( 87.5% for Supa Fitingu, 8/8 decided)
            Supa Fitingu vs Brain Blast           :   7W   1L   0D ( 87.5% for Supa Fitingu, 8/8 decided)
            Supa Fitingu vs Disco Inferno         :   2W   6L   0D ( 25.0% for Supa Fitingu, 8/8 decided)
    I Believe In Fairies vs Grounded Grounded Gro…:   2W   5L   1D ( 28.6% for I Believe In Fairies, 7/8 decided)
    I Believe In Fairies vs Ice Ice Baby          :   6W   2L   0D ( 75.0% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs Heavy Metal           :   3W   5L   0D ( 37.5% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs Stop Bugging Me       :   2W   4L   2D ( 33.3% for I Believe In Fairies, 6/8 decided)
    I Believe In Fairies vs Electric Boogaloo     :   1W   7L   0D ( 12.5% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs Fly Away Now          :   6W   2L   0D ( 75.0% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs Toxic Team            :   1W   7L   0D ( 12.5% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs Rock Hard             :   6W   2L   0D ( 75.0% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs RuPauls Dragon Race   :   5W   3L   0D ( 62.5% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs Soft and Wet          :   0W   8L   0D (  0.0% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs Your Ass is Grass     :   3W   5L   0D ( 37.5% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs Brain Blast           :   7W   1L   0D ( 87.5% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs Disco Inferno         :   1W   7L   0D ( 12.5% for I Believe In Fairies, 8/8 decided)
  Grounded Grounded Gro… vs Ice Ice Baby          :   5W   3L   0D ( 62.5% for Grounded Grounded Gro…, 8/8 decided)
  Grounded Grounded Gro… vs Heavy Metal           :   1W   4L   3D ( 20.0% for Grounded Grounded Gro…, 5/8 decided)
  Grounded Grounded Gro… vs Stop Bugging Me       :   4W   2L   2D ( 66.7% for Grounded Grounded Gro…, 6/8 decided)
  Grounded Grounded Gro… vs Electric Boogaloo     :   6W   2L   0D ( 75.0% for Grounded Grounded Gro…, 8/8 decided)
  Grounded Grounded Gro… vs Fly Away Now          :   0W   2L   6D (  0.0% for Grounded Grounded Gro…, 2/8 decided)
  Grounded Grounded Gro… vs Toxic Team            :   6W   2L   0D ( 75.0% for Grounded Grounded Gro…, 8/8 decided)
  Grounded Grounded Gro… vs Rock Hard             :   3W   4L   1D ( 42.9% for Grounded Grounded Gro…, 7/8 decided)
